rcp,parameter,attribute,r,p,p_fdr,sig_fdr
26,month_03_Dec,aridity,0.23790731005174748,1.936135237727468e-09,5.763379312305021e-09,True
26,month_04_Jan,frac_high_perc,-0.18796064979895577,2.3979481960010273e-06,5.314932798062883e-06,True
26,month_04_Jan,runoff_ratio,0.21205311381881325,9.582291287020054e-08,2.4227817970144533e-07,True
26,month_04_Jan,area,0.1497002614756427,0.00018103186639029258,0.00034329005774751776,True
26,month_04_Jan,dpsbar,0.1255075182625738,0.0017259992766084737,0.0029069461500774293,True
26,month_04_Jan,elev_mean,0.14203583364431166,0.00038464763814982384,0.0006983673430237936,True
26,month_04_Jan,p_seasonality,-0.1415605100581821,0.00040256534696795525,0.0007296051598144888,True
26,month_04_Jan,frac_snow,-0.045896618893823,0.2534393139655421,0.29491120170535806,False
26,month_04_Jan,aridity,-0.20676473515293325,2.0096062730191718e-07,4.958642948365378e-07,True
26,month_05_Feb,frac_high_perc,0.10830689840863471,0.006902603135684808,0.010693291393254529,True
26,month_05_Feb,runoff_ratio,0.17072850177534588,1.890857618882129e-05,3.8880285175407635e-05,True
26,month_05_Feb,area,0.07076211886981947,0.07806263680949739,0.10080219431642538,False
26,month_05_Feb,dpsbar,0.18991146025573408,1.8747369386110883e-06,4.2007234685727665e-06,True
26,month_05_Feb,elev_mean,0.33944858741784006,3.2707254626001366e-18,1.726403543145639e-17,True
26,month_05_Feb,p_seasonality,-0.05821886643271347,0.14730603805083986,0.18151790970404333,False
26,month_05_Feb,frac_snow,0.46685466202996573,6.162891058639279e-35,1.069627193906207e-33,True
26,month_05_Feb,aridity,-0.14770564386322946,0.0002210420335005958,0.0004137971522936199,True
26,month_06_Mar,frac_high_perc,-0.22453349758508312,1.5453328996007896e-08,4.131647230264252e-08,True
26,month_06_Mar,runoff_ratio,0.3636758943519711,7.452360087805295e-21,4.710627611057174e-20,True
26,month_06_Mar,area,0.07403335459526242,0.06522462910719237,0.08562823103303203,False
26,month_06_Mar,dpsbar,0.3094138184158093,3.035632509237999e-15,1.3456656664327753e-14,True
26,month_06_Mar,elev_mean,0.2840046848779151,5.508383501943118e-13,2.096871637914406e-12,True
26,month_06_Mar,p_seasonality,-0.3928109175527672,2.4064210950684214e-24,1.9872380656048898e-23,True
26,month_06_Mar,frac_snow,0.05557867948848633,0.16657521120968813,0.20186155772629663,False
26,month_06_Mar,aridity,-0.4123720969978313,6.819184313770786e-27,6.406279575505765e-26,True
26,month_07_Apr,frac_high_perc,0.03597562993008944,0.3707915931092683,0.41439288285530174,False
26,month_07_Apr,runoff_ratio,0.22880637895583683,8.06886727201731e-09,2.2092299696646327e-08,True
26,month_07_Apr,area,0.03378173239344597,0.4006952372162625,0.4435804571994084,False
26,month_07_Apr,dpsbar,0.09030883159593397,0.024414015067221906,0.0342465088066236,True
26,month_07_Apr,elev_mean,0.008457120973454704,0.833410496202368,0.8577008523730902,False
26,month_07_Apr,p_seasonality,-0.2535834257846321,1.439759549837048e-10,4.680361203279801e-10,True
26,month_07_Apr,frac_snow,-0.11345260247204274,0.004645024912316448,0.00737442714761557,True
26,month_07_Apr,aridity,-0.19671129082334923,7.792462434726751e-07,1.8135185302636803e-06,True
26,month_08_May,frac_high_perc,0.038743224895068956,0.33509961687716555,0.37916243942786465,False
26,month_08_May,runoff_ratio,0.36093898233075694,1.5217704192122323e-20,9.387306682369433e-20,True
26,month_08_May,area,-0.020512710456809687,0.6099128192033596,0.6532957393977409,False
26,month_08_May,dpsbar,0.25495866445701604,1.1364326254290114e-10,3.75389357561067e-10,True
26,month_08_May,elev_mean,0.176319387162919,9.884912696005989e-06,2.0742111886701092e-05,True
26,month_08_May,p_seasonality,-0.3979848443836752,5.295697987579783e-25,4.481648544860907e-24,True
26,month_08_May,frac_snow,-0.0040969363800582165,0.9188440986069579,0.9306591067987388,False
26,month_08_May,aridity,-0.29516718402014747,5.974568845036808e-14,2.4277613084594013e-13,True
26,month_09_Jun,frac_high_perc,-0.10093814706421816,0.011845013958240655,0.017578687381504973,True
26,month_09_Jun,runoff_ratio,0.29298615109187676,9.293172567036461e-14,3.731846552409936e-13,True
26,month_09_Jun,area,0.006680146369206092,0.8680508278577238,0.889773821547857,False
26,month_09_Jun,dpsbar,0.24431221613227172,6.842122785695211e-10,2.091442905239372e-09,True
26,month_09_Jun,elev_mean,0.3118176854182608,1.8064632628653932e-15,8.113238513921766e-15,True
26,month_09_Jun,p_seasonality,-0.14579100101318382,0.0002671139166246176,0.0004964149739085452,True
26,month_09_Jun,frac_snow,0.2566440380962383,8.487836664300744e-11,2.8496868013914627e-10,True
26,month_09_Jun,aridity,-0.3244580087518616,1.089507888218327e-16,5.262528667620598e-16,True
26,month_10_Jul,frac_high_perc,-0.20443260531508015,2.7688806463667624e-07,6.655713103003673e-07,True
26,month_10_Jul,runoff_ratio,0.4697207640898269,2.1135066733614646e-35,3.796896199161649e-34,True
26,month_10_Jul,area,-0.05449735920378995,0.17499129815287104,0.21106135372030618,False
26,month_10_Jul,dpsbar,0.2715604069596095,5.84487073873741e-12,2.1299457781021737e-11,True
26,month_10_Jul,elev_mean,0.3529138360658203,1.1867203245251339e-19,6.904554615418961e-19,True
