rcp,parameter,attribute,r_partial,p,p_fdr,sig_fdr
26,number_of_reversals,dpsbar,0.04307921635051371,0.28378144481202616,0.35512314881504947,False
26,number_of_reversals,elev_mean,0.12252268621806961,0.002223521885915667,0.005741428270260627,True
26,number_of_reversals,p_seasonality,0.22246072687187898,2.1081798799452312e-08,1.4310069488113085e-07,True
26,number_of_reversals,frac_snow,0.10543581143321387,0.008551408623946323,0.018552208540086938,True
45,base_flow_index,frac_high_perc,-0.012821287521384922,0.749821891476942,0.8017188720326254,False
45,base_flow_index,runoff_ratio,0.0992959546249925,0.013302084059608024,0.027149583866534828,True
45,base_flow_index,area,-0.08528762352257906,0.033590991915366984,0.05995523656607335,False
45,base_flow_index,dpsbar,0.010450358580292841,0.7949378204389077,0.8409259588114065,False
45,base_flow_index,elev_mean,0.11193239662215676,0.005230227296345592,0.012016111942373462,True
45,base_flow_index,p_seasonality,0.18066992807953172,5.883457458466428e-06,2.6895805524417957e-05,True
45,base_flow_index,frac_snow,0.2295734848343631,7.170568437540908e-09,5.223438471574514e-08,True
45,doy_max,frac_high_perc,-0.08779345489748487,0.028697351471910524,0.052050256920712204,False
45,doy_max,runoff_ratio,-0.05197733202843777,0.19582668425150362,0.2626657321696815,False
45,doy_max,area,0.05510437065130048,0.170228683338955,0.23429324158479828,False
45,doy_max,dpsbar,0.0013004022458031825,0.9742004471800363,0.9807680906441714,False
45,doy_max,elev_mean,-0.04386309484283392,0.27510317654457195,0.3461972558763153,False
45,doy_max,p_seasonality,0.05957689605677465,0.13808108837178262,0.1960707689082682,False
45,doy_max,frac_snow,-0.044997823788208574,0.2628638136445937,0.3331343380842376,False
45,doy_min,frac_high_perc,0.2713502820132256,6.076469666141868e-12,6.805646026078892e-11,True
45,doy_min,runoff_ratio,0.06816182706879001,0.08967096304272404,0.1357182143349337,False
45,doy_min,area,-0.11631726323341177,0.003700440459582711,0.008936912808048812,True
45,doy_min,dpsbar,-0.026154646910215955,0.5153250159971609,0.5889428754253266,False
45,doy_min,elev_mean,-0.12751455405919956,0.0014512871769213175,0.003916726838920182,True
45,doy_min,p_seasonality,-0.220200532285574,2.9477943770359716e-08,1.9139302621914713e-07,True
45,doy_min,frac_snow,-0.15935884676015022,6.643127038062626e-05,0.00024394433713541446,True
45,high_pulse_count,frac_high_perc,0.2696846625108988,8.258681055714311e-12,9.135528673975337e-11,True
45,high_pulse_count,runoff_ratio,0.0928758594201424,0.020624068748603536,0.03906800338001854,True
45,high_pulse_count,area,0.08101058030118646,0.04358879610288371,0.07554267177598414,False
45,high_pulse_count,dpsbar,0.001652989758924816,0.9672087378469267,0.9759223300797819,False
45,high_pulse_count,elev_mean,-0.137506382239973,0.0005902128424910754,0.001774599687489945,True
45,high_pulse_count,p_seasonality,-0.13319906483342936,0.0008764344277656695,0.0025009084308217832,True
45,high_pulse_count,frac_snow,-0.10329181344732648,0.010003005627305777,0.02113842698600466,True
45,high_pulse_duration_mean,frac_high_perc,0.08060198239458774,0.04466328251962419,0.07666341214096413,False
45,high_pulse_duration_mean,runoff_ratio,0.04502706808954457,0.26255341731814497,0.3331343380842376,False
45,high_pulse_duration_mean,area,0.0056795163722323135,0.8876733919056548,0.9158978723329705,False
45,high_pulse_duration_mean,dpsbar,0.022102348302242614,0.5824941908078023,0.6475369664563162,False
45,high_pulse_duration_mean,elev_mean,-0.06744037236846075,0.09312642317886964,0.14047352721930503,False
45,high_pulse_duration_mean,p_seasonality,-0.20305194080238445,3.341557704067799e-07,1.8256315261248463e-06,True
45,high_pulse_duration_mean,frac_snow,-0.08151379131367996,0.042295514478220414,0.07358598247084562,False
45,low_pulse_count,frac_high_perc,0.4130600971766125,5.50828645695527e-27,4.486749695847202e-25,True
45,low_pulse_count,runoff_ratio,-0.14508346120553964,0.0002863045665560743,0.000926097081712067,True
45,low_pulse_count,area,0.07217425478337894,0.07228896612806722,0.11443624319920181,False
